,Restaurant,Latitude,Longitude
0,Sanook Kitchen,1.2913950387570527,103.85024709090908
1,Lucky Cafe,1.286364,103.84841
2,Kebabs Faktory,1.2914875285714287,103.85041130434782
3,Potato Corner,1.2911423427005815,103.850452512407
4,Subway,1.2912632999963665,103.8503193
5,Authentic Hock Lam Beef Noodles,1.2858520514167553,103.8489851
6,Qin Ji Rougamo,1.28400835,103.85120835000001
7,HANS IM GLÜCK German Burgergrill,1.28798635,103.8493528
8,Wok Hey,1.2915452804469254,103.8505320292112
9,KOI The,1.28373342852349,103.85167038
10,Mr Tandoor,1.287531,103.849186
11,Gong Cha,1.2914095000779184,103.85050343309535
12,Liho Tea,1.2913261,103.85024359285714
13,Drinifini,1.287559,103.84858
14,TamJai SamGor Mixian,1.29106578346931,103.85038604662
15,Poke Theory,1.2841943,103.85193480000001
16,Ajumma's,1.2913251,103.8500892
17,Milksha,1.2914906653520775,103.84973305
18,Urban Mix,1.284175,103.8511379
19,Khushboo – The Fragrance of India,1.2863083892823266,103.84963455627415
20,Flavours by Saute,1.291416,103.8499566375
21,umisushi,1.2841377,103.8511642
22,Delibowl,1.2912791,103.8503589
23,The Soup Spoon,1.2840148955530282,103.85148115900012
24,Haakon Superfoods & Juice,1.2839812533333335,103.85108987500001
25,Stuff'd,1.29106578346931,103.85038604662
26,Qi Ji - Funan Mall,1.291225275,103.8502895637285
27,CHICHA San Chen,1.2841536366923947,103.85178853817143
28,Haldi Mexicana,1.28751,103.84922
29,Tiong Bahru Bakery,1.291366,103.849947
30,Little Ribbons,1.29135,103.84999
31,Dunkin' Donuts,1.2914274,103.85052218
32,Souperstar,1.284500731659856,103.8512442
33,Bombay Grill (Restaurant Delivery),1.287599,103.848244
34,Lucky Saigon,1.2862877,103.84841596
35,Tip Top Curry Puff,1.2840816,103.8511791
36,Mirch Masalah,1.2863,103.84962
37,Starbucks - Battery Road,1.285505316,103.8516629
38,Mughlai Mumbai Curry And Grill Authentic North Indian Restaurant,1.287651,103.848166
39,Bedok Bak Chor Mee,1.2876332,103.8488885
40,Macpherson BBQ Seafood,1.2880400919204202,103.8486363
41,Indian House,1.2869870454508168,103.84938902597231
42,Kaayaloram Kerala Restaurant,1.28824859,103.849193
43,Curry Village-Authentic North Indian Cuisine,1.286321663976937,103.84963428122043
44,Jjak & Co.,1.286538184,103.8492418
45,George Town Tze Char And Craft Beer,1.28843709,103.849151
46,Mix & Match Malls (Food) - City Hall,1.2915629509507909,103.84983306920168
47,Curry Village,1.286321663976937,103.84963428122043
48,Cedele,1.283813645,103.8527172
49,L'Entrecote La Baguette,1.291322,103.850083
50,Old Airport Road Wonton Noodle,1.284142346,103.8528419
51,Patrons’ Box,1.284898274,103.8513931
52,Sultan Palace Turkish & Lebanese Cuisine,1.288086924,103.8492329
53,Sahara Bar & Restaurant,1.2873979333333332,103.8493093
54,Churros Republic,1.29127554,103.8503161
55,Co Chung Restaurant,1.28699182092609,103.848753310453
56,Butter Bean,1.2915994226038712,103.85054697886535
57,Briyani Hut,1.287531,103.849186
58,Green Dot,1.284083,103.851
59,Sushi Express,1.2911182921637732,103.8503335760318
60,Dal.komm Coffee,1.2914151,103.8497955
61,Tonkotsu Kazan Ramen,1.291488202222222,103.84966545
62,The Grill Knife,1.28463,103.85139
63,Kazo Premium,1.29128860338776,103.850389532962
64,Phillip St Roasted Delight,1.2845276,103.84967755275879
65,Eventasty Noodle Bar,1.2912672692190004,103.8497891
66,PPP Coffee,1.291486,103.849697
67,Flash Coffee,1.284755,103.849828
68,Tea Pulse,1.28469173,103.84980293846154
69,Gado & Grill,1.2842647988995544,103.8511856
70,New Shah Alam Restaurant,1.2872582456583075,103.84894450942261
71,JonesMart,1.2908608824785464,103.84941059663592
72,Nasty Cookie Factory,1.2916424861264864,103.85055984287857
